20170421-09:47:34,10.0251269341,102520,100485,98615,96520,175270,178565
20170421-09:47:45,10.0264828205,102425,100445,98555,96425,175480,178770
20170421-09:47:55,10.0258960724,102515,100435,98505,96375,175495,178760
20170421-09:48:05,10.0264258385,102450,100440,98375,96215,175350,178605
20170421-09:48:15,10.025249958,102180,100145,98320,96235,175050,178315
20170421-09:48:25,10.0264868736,102195,100105,98340,96245,175095,178410
20170421-09:48:35,10.0259618759,102390,100285,98260,96145,174915,178265
20170421-09:48:45,10.0258200169,102405,100345,98130,96055,174810,178000
20170421-09:48:55,10.0228960514,102115,100055,98265,96125,174895,178075
20170421-09:49:05,10.0159511566,101870,99865,98130,96080,174250,177475
20170421-09:49:15,10.0194370747,101790,99725,98265,96150,174345,177580
20170421-09:49:25,10.0231640339,101605,99570,98210,96140,174540,177770
20170421-09:49:35,10.0181729794,101795,99785,98235,96165,174500,177735
20170421-09:49:45,10.0253221989,102040,99980,98215,96120,174340,177635
20170421-09:49:55,10.0252230167,101990,99945,98245,96110,174490,177730
20170421-09:50:05,10.0263791084,102045,100000,98180,96060,174530,177785
20170421-09:50:15,10.0248150826,101690,99585,98160,96050,174120,177435
20170421-09:50:25,10.0265030861,101220,99095,98185,96110,174380,177565
20170421-09:50:35,10.0257618427,101450,99415,97995,95910,173875,177100
20170421-09:50:45,10.0276930332,101555,99490,97940,95810,173685,176965
20170421-09:50:55,10.0253798962,101845,99795,98095,96000,173545,176755
20170421-09:51:05,10.0182130337,101705,99700,98090,96010,173330,176590
20170421-09:51:15,10.0190219879,101635,99645,106315,107150,173320,176510
20170421-09:51:25,10.0259280205,101360,99320,100485,98215,173130,176385
20170421-09:51:35,10.0240259171,100970,98920,103160,100910,172880,176070
20170421-09:51:45,10.0240008831,100955,98895,103065,100980,172810,176045
20170421-09:51:55,10.0239138603,101085,99025,103315,101165,172680,175975
20170421-09:52:05,10.0255310535,101175,99160,102270,100255,173000,176265
20170421-09:52:15,10.0255742073,101250,99210,101545,99410,173010,176270
20170421-09:52:25,10.0262551308,101220,99215,101280,99160,173280,176490
20170421-09:52:35,10.0250940323,100830,98760,101210,99105,172745,176055
20170421-09:52:45,10.024974823,100550,98500,100820,98755,172780,175995
20170421-09:52:55,10.0251500607,100670,98640,100800,98720,172285,175450
20170421-09:53:05,10.0181338787,100730,98635,100730,98615,171640,174855
20170421-09:53:15,10.0214338303,100825,98730,100525,98425,171885,175180
20170421-09:53:25,10.026309967,100745,98705,100670,98510,171935,175135
20170421-09:53:35,10.0260779858,100390,98325,100415,98260,172330,175560
20170421-09:53:45,10.028110981,100115,98080,100220,98115,172110,175380
20170421-09:53:55,10.0253369808,100290,98280,100035,97915,171810,175150
20170421-09:54:05,10.024105072,100585,98555,100080,97965,171585,174900
20170421-09:54:15,10.0251479149,100535,98505,99910,97805,171330,174615
20170421-09:54:25,10.0270590782,100505,98450,99720,97600,171880,175030
20170421-09:54:36,10.0248348713,100240,98245,99700,97620,171680,174685
20170421-09:54:46,10.0250439644,99950,97960,99610,97510,171610,174895
20170421-09:54:56,10.0240330696,99840,97775,99370,97290,171340,174465
