20170406-14:33:55,5.32892203331,46160,0,255,393480,205565,99530,93710,2025,19700
20170406-14:34:00,5.299077034,46135,0,250,182070,205685,99145,93875,1395,1755
20170406-14:34:05,5.37981295586,46165,0,255,47015,205750,99040,93965,1345,80
20170406-14:34:11,5.33225297928,46155,0,250,33745,205645,98960,93955,1310,0
20170406-14:34:16,5.36111497879,46265,0,270,11280,205690,99060,93690,8970,0
20170406-14:34:22,5.6145298481,46195,0,235,8980,205675,99280,93540,29285,0
20170406-14:34:27,5.3598780632,46215,0,250,8775,205850,99405,93660,30735,0
20170406-14:34:32,5.29980683327,45605,0,265,264425,205830,99445,93565,17655,0
20170406-14:34:38,5.29618000984,8995,0,265,553375,205890,99430,93775,4095,0
20170406-14:34:43,5.36320185661,2750,0,235,581165,205860,99380,93520,1605,0
20170406-14:34:48,5.36005401611,2850,0,275,488475,205890,99335,93415,1370,0
20170406-14:34:54,5.45690202713,2870,0,250,53110,205900,99140,93475,1375,0
20170406-14:35:20,26.0796279907,2855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:35:31,11.0065908432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:03,32.0190639496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:08,5.00515794754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:13,5.00517511368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:45,32.0233328342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:50,5.00223493576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170406-14:36:55,5.00400805473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
